,model_var,model_cross,JS-native,JS-nonnative,acc-native,acc-nonnative,arch,rep,lang,domain
255,w2v2-large_knn_2_wvENResponses10Fold,5,0.5908842545219178,0.48923774971318784,0.0625,0.15422276621787026,knn,w2v2-large,EN,nat
256,w2v2-large_knn_2_wvENResponses10Fold,6,0.4990420396633294,0.517706665622743,0.25,0.15055079559363524,knn,w2v2-large,EN,nat
257,w2v2-large_knn_2_wvENResponses10Fold,7,0.5920925766329539,0.5085783578206121,0.125,0.189718482252142,knn,w2v2-large,EN,nat
258,w2v2-large_knn_2_wvENResponses10Fold,8,0.5964432136634845,0.4921387057784124,0.125,0.18727050183598531,knn,w2v2-large,EN,nat
259,w2v2-large_knn_2_wvENResponses10Fold,9,0.43100548824106255,0.4889588630132165,0.3125,0.1701346389228886,knn,w2v2-large,EN,nat
260,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,0,0.2536613026111,0.19384054057469166,0.5125,0.4268292682926829,max,w2v2-large,EN,non-nat
261,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,1,0.2722058332217685,0.22521131607701816,0.50625,0.4634146341463415,max,w2v2-large,EN,non-nat
262,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,2,0.2715989164551558,0.22757729689110576,0.525,0.5432098765432098,max,w2v2-large,EN,non-nat
263,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,3,0.2251895186830053,0.17976911702313836,0.6375,0.5185185185185185,max,w2v2-large,EN,non-nat
264,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,4,0.24619519879744417,0.2117421454507171,0.50625,0.5853658536585366,max,w2v2-large,EN,non-nat
265,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,5,0.2146892637946503,0.18128798163755533,0.6125,0.5061728395061729,max,w2v2-large,EN,non-nat
266,w2v2-large_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,6,0.21011018081383365,0.18689746069607938,0.6625,0.6419753086419753,max,w2v2-large,EN,non-nat
